"Country or Area","Year","Area","Sex","Age","Cause of death (WHO)","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Brazil","2017","Total","Female","2","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Malignant neoplasm of stomach, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","2","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Malignant neoplasm of female breast, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Malignant neoplasm of cervix uteri, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","15",""
"Brazil","2017","Total","Female","2","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","22",""
"Brazil","2017","Total","Female","2","Anaemias, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","9",""
"Brazil","2017","Total","Female","2","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","19",""
"Brazil","2017","Total","Female","2","Diabetes mellitus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","2","Malnutrition, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","4",""
"Brazil","2017","Total","Female","2","Mental and behavioural disorders, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Diseases of the nervous system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","81",""
"Brazil","2017","Total","Female","2","Diseases of the circulatory system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","20",""
"Brazil","2017","Total","Female","2","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","2","Hypertensive diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Ischaemic heart diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Cerebrovascular diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","2","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Diseases of the respiratory  system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","106",""
"Brazil","2017","Total","Female","2","Influenza, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","2","Pneumonia, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","74",""
"Brazil","2017","Total","Female","2","Chronic lower respiratory diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","9",""
"Brazil","2017","Total","Female","2","Diseases of the digestive system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","13",""
"Brazil","2017","Total","Female","2","Gastric and duodenal ulcer, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Diseases of the liver, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","5",""
"Brazil","2017","Total","Female","2","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","2","Diseases of the genitourinary system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","7",""
"Brazil","2017","Total","Female","2","Disorders of kidney and ureter, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","2","Pregnancy, childbirth and the puerperium, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Pregnancy with abortive outcome, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Other direct obstetric causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Indirect obstetric causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","2","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","103",""
"Brazil","2017","Total","Female","2","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","42",""
"Brazil","2017","Total","Female","2","All other diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","4",""
"Brazil","2017","Total","Female","2","External causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","138",""
"Brazil","2017","Total","Female","2","Accidents, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","117",""
"Brazil","2017","Total","Female","2","Transport accidents, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","33",""
"Brazil","2017","Total","Female","2","Falls, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","8",""
"Brazil","2017","Total","Female","2","Accidental drowning and submersion, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","46",""
"Brazil","2017","Total","Female","2","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","2","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","2","Intentional self-harm, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","2","Assault, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","10",""
"Brazil","2017","Total","Female","2","All other external causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","11",""
"Brazil","2017","Total","Female","2","All causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","674",""
"Brazil","2017","Total","Female","3","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","37",""
"Brazil","2017","Total","Female","3","Intestinal infectious diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","10",""
"Brazil","2017","Total","Female","3","Tuberculosis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","3","Tetanus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Diphtheria, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Whooping cough, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Meningococcal infection, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","3","Septicaemia, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","11",""
"Brazil","2017","Total","Female","3","Acute poliomyelitis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Measles, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Viral hepatitis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","3","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","3","Malaria, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Neoplasms, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","63",""
"Brazil","2017","Total","Female","3","Malignant neoplasms, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","60",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of stomach, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","5",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of female breast, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of cervix uteri, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","16",""
"Brazil","2017","Total","Female","3","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","6",""
"Brazil","2017","Total","Female","3","Anaemias, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","3","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","10",""
"Brazil","2017","Total","Female","3","Diabetes mellitus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","3","Malnutrition, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","3","Mental and behavioural disorders, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Diseases of the nervous system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","67",""
"Brazil","2017","Total","Female","3","Diseases of the circulatory system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","22",""
"Brazil","2017","Total","Female","3","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Hypertensive diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Ischaemic heart diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","3","Cerebrovascular diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","6",""
"Brazil","2017","Total","Female","3","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","3","Diseases of the respiratory  system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","53",""
"Brazil","2017","Total","Female","3","Influenza, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Pneumonia, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","42",""
"Brazil","2017","Total","Female","3","Chronic lower respiratory diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","4",""
"Brazil","2017","Total","Female","3","Diseases of the digestive system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","16",""
"Brazil","2017","Total","Female","3","Gastric and duodenal ulcer, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","3","Diseases of the liver, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","3","Diseases of the genitourinary system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","11",""
"Brazil","2017","Total","Female","3","Disorders of kidney and ureter, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","6",""
"Brazil","2017","Total","Female","3","Pregnancy, childbirth and the puerperium, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Pregnancy with abortive outcome, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Other direct obstetric causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Indirect obstetric causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","45",""
"Brazil","2017","Total","Female","3","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","25",""
"Brazil","2017","Total","Female","3","All other diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","3","External causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","86",""
"Brazil","2017","Total","Female","3","Accidents, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","74",""
"Brazil","2017","Total","Female","3","Transport accidents, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","28",""
"Brazil","2017","Total","Female","3","Falls, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","5",""
"Brazil","2017","Total","Female","3","Accidental drowning and submersion, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","22",""
"Brazil","2017","Total","Female","3","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","6",""
"Brazil","2017","Total","Female","3","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","3","Intentional self-harm, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","3","Assault, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","9",""
"Brazil","2017","Total","Female","3","All other external causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","3","All causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","446",""
"Brazil","2017","Total","Female","4","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","24",""
"Brazil","2017","Total","Female","4","Intestinal infectious diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","5",""
"Brazil","2017","Total","Female","4","Tuberculosis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Tetanus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Diphtheria, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Whooping cough, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Meningococcal infection, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","4",""
"Brazil","2017","Total","Female","4","Septicaemia, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","5",""
"Brazil","2017","Total","Female","4","Acute poliomyelitis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Measles, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Viral hepatitis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Malaria, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Neoplasms, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","78",""
"Brazil","2017","Total","Female","4","Malignant neoplasms, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","77",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of stomach, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of female breast, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of cervix uteri, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","22",""
"Brazil","2017","Total","Female","4","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","11",""
"Brazil","2017","Total","Female","4","Anaemias, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","6",""
"Brazil","2017","Total","Female","4","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","11",""
"Brazil","2017","Total","Female","4","Diabetes mellitus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Malnutrition, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Mental and behavioural disorders, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Diseases of the nervous system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","39",""
"Brazil","2017","Total","Female","4","Diseases of the circulatory system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","13",""
"Brazil","2017","Total","Female","4","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Hypertensive diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Ischaemic heart diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Cerebrovascular diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","4","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Diseases of the respiratory  system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","44",""
"Brazil","2017","Total","Female","4","Influenza, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Pneumonia, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","30",""
"Brazil","2017","Total","Female","4","Chronic lower respiratory diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","6",""
"Brazil","2017","Total","Female","4","Diseases of the digestive system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","6",""
"Brazil","2017","Total","Female","4","Gastric and duodenal ulcer, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Diseases of the liver, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Diseases of the genitourinary system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","5",""
"Brazil","2017","Total","Female","4","Disorders of kidney and ureter, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","4","Pregnancy, childbirth and the puerperium, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Pregnancy with abortive outcome, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Other direct obstetric causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Indirect obstetric causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","4","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","32",""
"Brazil","2017","Total","Female","4","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","25",""
"Brazil","2017","Total","Female","4","All other diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","4","External causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","80",""
"Brazil","2017","Total","Female","4","Accidents, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","59",""
"Brazil","2017","Total","Female","4","Transport accidents, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","20",""
"Brazil","2017","Total","Female","4","Falls, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","5",""
"Brazil","2017","Total","Female","4","Accidental drowning and submersion, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","13",""
"Brazil","2017","Total","Female","4","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","4","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","4","Intentional self-harm, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","4","Assault, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","12",""
"Brazil","2017","Total","Female","4","All other external causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","9",""
"Brazil","2017","Total","Female","4","All causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","375",""
"Brazil","2017","Total","Female","5 - 9","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","98",""
"Brazil","2017","Total","Female","5 - 9","Intestinal infectious diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","17",""
"Brazil","2017","Total","Female","5 - 9","Tuberculosis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","5 - 9","Tetanus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Diphtheria, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Whooping cough, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Meningococcal infection, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","11",""
"Brazil","2017","Total","Female","5 - 9","Septicaemia, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","31",""
"Brazil","2017","Total","Female","5 - 9","Acute poliomyelitis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Measles, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Viral hepatitis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","5 - 9","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","9",""
"Brazil","2017","Total","Female","5 - 9","Malaria, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","5 - 9","Neoplasms, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","224",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasms, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","221",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of stomach, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of female breast, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of cervix uteri, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","88",""
"Brazil","2017","Total","Female","5 - 9","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","48",""
"Brazil","2017","Total","Female","5 - 9","Anaemias, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","26",""
"Brazil","2017","Total","Female","5 - 9","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","47",""
